r_empkep_bs_fix_r,Tb7_empkep_bs_fix_r,Tb7_empkep_bs_fix_r_prediction,Tb7_empkep_bs_err_qtls,bff_tb7,bff_err_tb7,Tb6_empkep_bs_fix_r,Tb6_empkep_bs_fix_r_prediction,Tb6_empkep_bs_err_qtls,bff_tb6,bff_err_tb6,Texe_bs_empkep_fix_r,Texe_err_bs_empkep_fix_r,Ncol_bs_empkep_fix_r,Ncol_err_bs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
-0.3,4.54207706451416,5.79310082261804,[[1.61860324 1.58966467]],1,0,4.509018421173096,3.991768170938544,[[1.63563137 1.79032518]],1,0,38.96683156451277,"[16.19838346099696, 31.246336057959596]",238994966406774.2,"[38572545540525.81, 75048818319941.12]",0.12603956888157386,[[0.08903071 0.2700884 ]],0.20288235295781923,[[0.13382183 0.30212831]]
-0.6,9.68992805480957,11.069942577952022,[[2.02880263 1.79017706]],1,0,8.239550590515137,7.245064768304107,[[2.03333623 2.23328328]],1,0,48.31894281682969,"[12.727510763647757, 21.49115445111255]",508656853813317.5,"[56797692313381.5, 99802296196548.62]",0.18444188727943858,[[0.10011607 0.18987923]],0.3165434087933623,[[0.15935513 0.26742168]]
-0.9,10.922607421875,12.27334449326864,[[2.76060692 2.50956878]],1,0,8.531359672546387,7.480646388539828,[[2.20656186 2.81614759]],1,0,60.50805614019281,"[16.19867487542654, 22.318265627599814]",601364525363018.0,"[82676325228986.19, 124162947948369.75]",0.14572407178809402,[[0.0751909  0.16062133]],0.26397598364019675,[[0.12858774 0.24921057]]
-1.2,8.758785247802734,9.455630346619408,[[2.51748341 2.65803416]],1,0,6.083094596862793,5.426679144811224,[[1.68101349 2.49408988]],1,0,71.50171850072701,"[22.205422217678347, 18.901970738572146]",479442891562142.3,"[89150906841500.0, 87821339891658.06]",0.08561647704799422,[[0.04055512 0.11291363]],0.16029924948202673,[[0.07265534 0.18223586]]
-1.5,6.750086784362793,7.29068370147408,[[2.21722564 2.41310234]],1,0,4.705970764160156,4.2022833396276615,[[1.4718658  2.31593936]],1,0,67.87402753725965,"[23.671057719913094, 21.26269020795904]",354110360553564.75,"[74505019741008.44, 78214253241249.25]",0.06958650222299574,[[0.03643923 0.11372577]],0.12902596080559373,[[0.0646869  0.17784148]]
-1.8,6.699515342712402,7.502780764007066,[[2.292566   2.34159083]],1,0,5.0923027992248535,4.436424655522323,[[1.61518203 2.49403186]],1,0,61.96116225000423,"[22.262621224525745, 24.585699045775364]",351580741475419.3,"[69156931082010.94, 88342889302743.94]",0.08160202037977923,[[0.04622122 0.14311366]],0.14856597651194112,[[0.0801916  0.21536272]]
-2.1,9.85396671295166,11.251301857309695,[[2.10206283 1.84182518]],1,0,8.318650245666504,7.311160857173034,[[2.05567306 2.31596087]],1,0,49.392032606685845,"[13.19333275941262, 21.508537899818236]",519926902046170.1,"[59046996887416.75, 103071708790863.5]",0.1813383804093836,[[0.09774709 0.19112994]],0.3130324606130885,[[0.1567662  0.27157248]]
-2.4,12.326227188110352,13.57863088411128,[[2.83712296 2.75877924]],1,0,9.123547554016113,8.025534899267537,[[2.11537228 2.755717  ]],1,0,68.49153524522754,"[16.774537164206684, 19.004210542662136]",703476886586305.4,"[94871915531108.5, 119275420718175.5]",0.13596272698138123,[[0.06125849 0.12846235]],0.2525352578355393,[[0.1079312  0.20933339]]
-2.7,7.847309589385986,9.200554729493557,[[1.52029692 1.01361017]],1,0,7.590163230895996,6.794249550152865,[[1.51817712 1.16346501]],1,0,35.468130768620085,"[9.529513354773222, 15.773837484144401]",411343738249176.4,"[37837173387394.875, 56293234054743.0]",0.2545416437466412,[[0.13251003 0.22770034]],0.39660338100001935,[[0.1839461  0.26156229]]
-3.0,7.860769748687744,9.231337253104698,[[1.42372671 1.12057401]],1,0,7.4080119132995605,6.622354807364023,[[1.64242245 1.36449873]],1,0,37.701086593441566,"[10.263422983340135, 17.654597763558]",409062714772181.94,"[40588692253163.625, 61527209531329.75]",0.22824907454396887,[[0.12339475 0.21569468]],0.36335435041320524,[[0.17716555 0.25902243]]
-3.3,8.45615291595459,9.833586533942107,[[1.37877689 1.32817092]],1,0,7.709702491760254,6.831361318141175,[[1.76025211 1.65831999]],1,0,40.90088605993476,"[11.368664904980822, 19.01257031300343]",438669415824245.5,"[43332886532692.0, 72936401743470.81]",0.2128504155049304,[[0.11532085 0.2158737 ]],0.34801765874504126,[[0.17172068 0.27319   ]]
-3.6,8.054579734802246,8.942514209333007,[[2.52111729 2.49842635]],1,0,6.005162715911865,5.247240560644347,[[1.76567379 2.52116738]],1,0,65.2080773285866,"[20.858071295418327, 22.4940034025026]",433872638878736.75,"[80228810049529.19, 92100030399195.44]",0.09174983443710374,[[0.04853212 0.12998059]],0.16879408442075264,[[0.08510876 0.20274552]]
-3.9,5.373096942901611,6.663667747132884,[[1.54041159 1.3120141 ]],1,0,5.343238353729248,4.774571198292716,[[1.64716451 1.4697204 ]],1,0,36.20879081419601,"[13.209286754319887, 25.21691829910433]",280200439500417.9,"[36843401367784.44, 65042655042715.53]",0.16744273112692198,[[0.11006141 0.26141338]],0.26283452474754715,[[0.15855581 0.28696561]]
-4.2,1.7713004350662231,2.953878500739786,[[2.19668437 3.2709191 ]],1,0,3.241968870162964,3.112751931363545,[[1.43373038 1.76139812]],1,0,18.36653720344983,"[9.240511913156237, 26.73086606883495]",153427538957640.38,"[37174315966412.42, 109065321320330.53]",0.26498029212875646,[[0.21738431 0.75408884]],0.29581993396094663,[[0.21568058 0.28281002]]
-4.5,-0.2274782359600067,0.7206052464179654,[[0.60150523 0.8638595 ]],1,0,1.1500478982925415,0.464509628871762,[[0.37738093 0.78746006]],1,0,42.51890838418631,"[29.690501896605888, 38.451771838806614]",27665365126145.496,"[19534465745414.758, 33940752209387.465]",0.012551560009046997,[[0.01139824 0.15657335]],0.020769924827347314,[[0.01856409 0.12021577]]
-4.8,0.5675466060638428,0.33309411446950654,[[0.23582115 0.52195171]],1,0,0.25679293274879456,0.19542301819347663,[[0.14362408 0.60317199]],1,0,56.66842832100964,"[35.72682884805949, 30.1917530689972]",13980243304240.43,"[8869045798464.035, 22100030940160.29]",0.003813995458605774,[[0.003178   0.04776346]],0.006809320204301514,[[0.00557957 0.05583465]]
-5.1,0.018375635147094727,0.22619706650509638,[[0.14123486 0.32914061]],1,0,-0.10986404865980148,0.1329273469245993,[[0.08771652 0.38717823]],1,0,56.233401241903906,"[35.28903739948251, 30.9568090775671]",9452603614065.865,"[4978017560360.656, 13833700960877.22]",0.0026148315009207014,[[0.00206198 0.03066691]],0.00466013518330529,[[0.00359056 0.03576579]]
-5.4,-0.5959790945053101,0.26678909113862814,[[0.17785508 0.40864153]],1,0,0.3047889471054077,0.15909618351522706,[[0.11163462 0.4679442 ]],1,0,53.45425298086993,"[35.571913251453175, 32.35550945908293]",10928090325485.824,"[6290569232372.524, 16863105189714.41]",0.003310902910293187,[[0.00272057 0.04651261]],0.005830382991694452,[[0.00469103 0.0487726 ]]
-5.7,-1.5091782808303833,0.19700825912150713,[[0.11712028 0.28803788]],1,0,0.032293953001499176,0.11659291780209728,[[0.07403573 0.34029523]],1,0,54.8181985130122,"[37.65314068968861, 31.835904200066643]",8144503606013.597,"[3953481088071.9395, 11969341428264.77]",0.0023585990264104106,[[0.00183478 0.03579359]],0.004178536978182621,[[0.00316605 0.03642759]]
