,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb6_empkep_rs_fix_r,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r
0,0.3,4.794351577758789,2.033801555633545,54.99115311664375,"[48.189863783022005, 7.395674084531478]",1.7452110734862951e+21,"[2.1436318190855337e+20, 8.489391939008264e+22]",0.3,4.794351577758789,2.033801555633545,54.99115311664375,"[48.189863783022005, 7.395674084531478]",1.7452110734862951e+21,"[2.1436318190855337e+20, 8.489391939008264e+22]"
1,0.6,10.349794387817385,7.570204257965088,39.91517831133253,"[10.719415956278606, 13.63682936434185]",4.913592978361817e+21,"[4.7211167207557064e+20, 5.721003114666331e+20]",0.6,10.349794387817383,7.570204257965088,39.91517831133253,"[10.719415956278606, 13.63682936434185]",4.913592978361817e+21,"[4.7211167207557064e+20, 5.721003114666331e+20]"
2,0.9,8.185954093933105,7.425683975219727,23.660330448022037,"[9.872907987816346, 9.375374751138292]",4.472694817017844e+21,"[5.944886626937371e+20, 3.5827909742562596e+22]",0.9,8.185954093933105,7.425683975219727,23.660330448022034,"[9.872907987816346, 9.375374751138292]",4.472694817017844e+21,"[5.944886626937371e+20, 3.5827909742562596e+22]"
3,1.2,5.336268901824951,4.456201553344727,28.12150884351623,"[8.654541735987003, 11.066723302759904]",2.4290423434357915e+21,"[2.2366640050817702e+20, 3.8165915988431e+20]",1.2,5.336268901824951,4.456201553344727,28.12150884351623,"[8.654541735987003, 11.066723302759904]",2.4290423434357915e+21,"[2.2366640050817702e+20, 3.8165915988431e+20]"
4,1.5,7.247902393341064,8.179085731506348,13.630138048406012,"[0.7517098054842677, 2.715501163612201]",1.0313380070363567e+23,"[9.66516383368103e+22, 2.2910741977932088e+24]",1.5,7.2479023933410645,8.179085731506348,13.630138048406012,"[0.7517098054842677, 2.715501163612201]",1.0313380070363569e+23,"[9.66516383368103e+22, 2.2910741977932088e+24]"
5,1.8,9.06441593170166,9.79521942138672,15.53691515436326,"[0.8698820502633513, 3.1249745272225553]",1.0719490593445423e+23,"[9.96184912671822e+22, 2.3028349867505542e+24]",1.8,9.06441593170166,9.795219421386719,15.53691515436326,"[0.8698820502633513, 3.1249745272225553]",1.0719490593445425e+23,"[9.96184912671822e+22, 2.3028349867505542e+24]"
6,2.1,11.17001724243164,9.781512260437012,26.01964201090477,"[9.504027244416527, 10.757617666509919]",6.472408636770638e+21,"[8.862789789018101e+20, 7.610258184798883e+22]",2.1,11.17001724243164,9.781512260437012,26.01964201090477,"[9.504027244416527, 10.757617666509919]",6.472408636770638e+21,"[8.862789789018101e+20, 7.610258184798883e+22]"
7,2.4,10.415026664733888,9.770057678222656,19.54350283169393,"[3.970556581333918, 9.752184145016063]",8.118833146195061e+21,"[2.503087171719603e+21, 7.068424798451904e+23]",2.4,10.415026664733887,9.770057678222656,19.543502831693935,"[3.970556581333918, 9.752184145016063]",8.118833146195061e+21,"[2.503087171719603e+21, 7.068424798451904e+23]"
8,2.7,6.426898002624512,8.790343284606934,13.232467715266925,"[0.6020622260649731, 0.8371517208019537]",1.832071661368953e+23,"[1.706642601251652e+23, 2.586448714516417e+24]",2.7,6.426898002624512,8.790343284606934,13.232467715266925,"[0.6020622260649731, 0.8371517208019537]",1.832071661368953e+23,"[1.706642601251652e+23, 2.586448714516417e+24]"
9,3.0,5.233510494232178,8.1714448928833,12.050994772751832,"[0.561782244077758, 0.7817146479422963]",1.5115215290464555e+23,"[1.4080072105681802e+23, 2.535134356711731e+24]",3.0,5.233510494232178,8.1714448928833,12.050994772751833,"[0.561782244077758, 0.7817146479422963]",1.5115215290464555e+23,"[1.4080072105681802e+23, 2.535134356711731e+24]"
10,3.3,2.89752459526062,6.538307189941406,9.672396364767652,"[0.674161851163193, 1.4421480043040322]",8.658132442469e+21,"[4.1471924380421215e+21, 6.0397041628978724e+23]",3.3,2.89752459526062,6.538307189941406,9.672396364767653,"[0.674161851163193, 1.4421480043040322]",8.658132442469e+21,"[4.1471924380421215e+21, 6.0397041628978724e+23]"
11,3.6,2.884584903717041,6.566549777984619,9.68147146995921,"[0.6903132976306168, 1.4234324966579752]",8.548915754846216e+21,"[4.031888610559706e+21, 5.986961724384352e+23]",3.6,2.884584903717041,6.566549777984619,9.68147146995921,"[0.6903132976306168, 1.4234324966579752]",8.548915754846216e+21,"[4.031888610559706e+21, 5.986961724384352e+23]"
12,3.9,3.0371499061584477,6.320858955383301,9.69054783606283,"[0.5937363571311209, 1.4955913819652764]",1.1746440740763886e+22,"[7.047117422865139e+21, 9.337027704066922e+23]",3.9,3.0371499061584473,6.320858955383301,9.69054783606283,"[0.5937363571311209, 1.4955913819652764]",1.1746440740763886e+22,"[7.047117422865139e+21, 9.337027704066922e+23]"
13,4.2,2.5922048091888428,5.969081401824951,9.45926725995717,"[0.8243809742659138, 1.3292590203677808]",6.96645958388744e+21,"[2.8896438838274787e+21, 3.4794606429149856e+23]",4.2,2.5922048091888428,5.969081401824951,9.45926725995717,"[0.8243809742659138, 1.3292590203677808]",6.96645958388744e+21,"[2.8896438838274787e+21, 3.4794606429149856e+23]"
14,4.5,0.2436690628528595,3.692347288131714,5.542827627956374,"[0.3029319101262411, 0.40988243317927253]",2.710338317303315e+21,"[8.401648577613015e+20, 1.0037966157507335e+21]",4.5,0.2436690628528595,3.692347288131714,5.542827627956374,"[0.3029319101262411, 0.40988243317927253]",2.710338317303315e+21,"[8.401648577613015e+20, 1.0037966157507335e+21]"
15,4.8,1.044074296951294,4.506292819976807,7.684182518391857,"[0.5437124157232978, 0.7101037650599196]",3.6637357595162e+21,"[1.0316465605970467e+21, 1.4866322596434852e+21]",4.8,1.044074296951294,4.506292819976807,7.684182518391857,"[0.5437124157232978, 0.7101037650599196]",3.6637357595162003e+21,"[1.0316465605970467e+21, 1.4866322596434852e+21]"
16,5.1,1.180476188659668,4.305109024047852,7.941474246913387,"[0.5892612791410725, 0.7176806385469146]",3.774663898808799e+21,"[1.0551203133727499e+21, 1.610380168637931e+21]",5.1,1.180476188659668,4.305109024047852,7.941474246913387,"[0.5892612791410725, 0.7176806385469146]",3.7746638988087987e+21,"[1.0551203133727499e+21, 1.610380168637931e+21]"
17,5.4,0.461954265832901,3.6548526287078857,6.296075936026291,"[0.3809900042667369, 0.46886238200618013]",3.0584871091570585e+21,"[8.498472748729099e+20, 1.1652379367180363e+21]",5.4,0.461954265832901,3.6548526287078857,6.296075936026291,"[0.3809900042667369, 0.46886238200618013]",3.0584871091570585e+21,"[8.498472748729099e+20, 1.1652379367180363e+21]"
18,5.7,1.2266136407852173,3.2509937286376958,7.894536423432576,"[0.7806879221165275, 1.0559637060161728]",3.786937514835181e+21,"[1.3816621192198021e+21, 2.661011085440393e+21]",5.7,1.2266136407852173,3.2509937286376953,7.894536423432576,"[0.7806879221165275, 1.0559637060161728]",3.7869375148351805e+21,"[1.3816621192198021e+21, 2.661011085440393e+21]"
