,Unnamed: 0,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,bff_tb6,bff_err_tb6,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7,r_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r.1,Tb7_empkep_rs_fix_r_prediction.1,Tb7_empkep_rs_err_qtl.1,bff_tb7.1,bff_err_tb7.1,Tb6_empkep_rs_fix_r.1,Tb6_empkep_rs_fix_r_prediction.1,Tb6_empkep_rs_err_qtl.1,bff_tb6.1,bff_err_tb6.1,Texe_rs_empkep_fix_r.1,Texe_err_rs_empkep_fix_r.1,Ncol_rs_empkep_fix_r.1,Ncol_err_rs_empkep_fix_r.1,Tau_nu_b6.1,Tau_nu_errs_b6.1,Tau_nu_b7.1,Tau_nu_errs_b7.1,r_empkep_rs_fix_r,Tb7_empkep_rs_fix_r,Tb7_empkep_rs_fix_r_prediction,Tb7_empkep_rs_err_qtl,bff_tb7,bff_err_tb7,Tb6_empkep_rs_fix_r,Tb6_empkep_rs_fix_r_prediction,Tb6_empkep_rs_err_qtl,bff_tb6,bff_err_tb6,Texe_rs_empkep_fix_r,Texe_err_rs_empkep_fix_r,Ncol_rs_empkep_fix_r,Ncol_err_rs_empkep_fix_r,Tau_nu_b6,Tau_nu_errs_b6,Tau_nu_b7,Tau_nu_errs_b7
0,0,0.3,5.660978317260742,7.152029156649161,[[4.00335002 6.09918123]],1,0,4.136758327484131,3.8245596746049215,[[2.27433828 5.58842493]],1,0,95.41812166999829,"[54.11067141284602, 66.7397750371685]",416159800390705.5,"[154046458495093.1, 218529542128815.25]",0.0434147698564184,[[0.03347383 0.2593299 ]],0.0850841689608308,[[0.0644716  0.41145157]],0.3,5.660978317260742,7.152029156649161,[[4.00335002 6.09918123]],1,0,4.136758327484131,3.8245596746049215,[[2.27433828 5.58842493]],1,0,95.41812166999829,"[54.11067141284602, 66.7397750371685]",416159800390705.5,"[154046458495093.1, 218529542128815.25]",0.0434147698564184,[[0.03347383 0.2593299 ]],0.0850841689608308,[[0.0644716  0.41145157]],0.3,5.139361381530762,5.500184180317052,[[1.83217682 2.10273523]],1,0,3.7377114295959473,3.2013955859165377,[[1.22987144 2.14457355]],1,0,63.50306256689959,"[25.175616650418448, 24.176229375555963]",255129647211111.9,"[56791263855039.66, 69855471458359.47]",0.05662432967167839,[[0.03237422 0.11968446]],0.1036171854563065,[[0.05666191 0.17862234]]
1,1,0.6,9.025039672851562,10.289083258784512,[[2.16546971 1.75965636]],1,0,9.263909339904783,8.43714434645662,[[1.05496839 0.76059632]],1,0,29.73212776352668,"[7.696272196569094, 9.351144431672378]",508111774350703.8,"[38836396975221.375, 58349183820934.19]",0.4211532633167686,[[0.17493204 0.32950203]],0.6120164041179627,[[0.21529065 0.32744014]],0.6,9.025039672851562,10.289083258784512,[[2.16546971 1.75965636]],1,0,9.263909339904783,8.43714434645662,[[1.05496839 0.76059632]],1,0,29.732127763526677,"[7.696272196569094, 9.351144431672378]",508111774350703.8,"[38836396975221.375, 58349183820934.19]",0.4211532633167686,[[0.17493204 0.32950203]],0.6120164041179627,[[0.21529065 0.32744014]],0.6,8.642086029052734,9.967471797832875,[[2.3091253  1.96064184]],1,0,7.297767639160156,6.367062261104608,[[2.05865635 2.49421588]],1,0,50.65138055586069,"[15.53113779550889, 24.719221596965262]",453716846236444.25,"[61625596132019.19, 105224772811123.62]",0.15132761038650464,[[0.08780136 0.20033723]],0.2629340686929231,[[0.14287779 0.28303559]]
2,2,0.9,6.570132732391357,8.175849205436148,[[2.29536444 5.14836976]],1,0,6.116665840148926,5.695914890100669,[[2.42948938 4.13968539]],1,0,39.51266028186305,"[16.747540872600887, 37.91227569104558]",353205911273700.06,"[52219087232190.19, 291193648193773.3]",0.1818800649018073,[[0.13548403 0.63113166]],0.2941068478500372,[[0.20602161 0.74229102]],0.9,6.570132732391357,8.175849205436148,[[2.29536444 5.14836976]],1,0,6.116665840148926,5.695914890100669,[[2.42948938 4.13968539]],1,0,39.51266028186305,"[16.747540872600887, 37.91227569104558]",353205911273700.06,"[52219087232190.19, 291193648193773.3]",0.1818800649018073,[[0.13548403 0.63113166]],0.2941068478500372,[[0.20602161 0.74229102]],0.9,6.148114204406738,6.588694315470234,[[2.0643686  2.29683535]],1,0,4.379810810089111,3.8137613674523236,[[1.37971655 2.24581864]],1,0,66.01553657415235,"[23.98820149485931, 22.479839281957922]",314052581546146.94,"[66670890931219.06, 75151402646054.5]",0.06493423047303826,[[0.03520777 0.11524364]],0.11975241074377789,[[0.06211431 0.17734418]]
3,3,1.2,5.336268901824951,7.221830294799571,[[4.07172969 4.87154153]],1,0,4.456201553344727,4.129737882533486,[[2.55789219 5.76757223]],1,0,69.94856564938627,"[40.45173447374989, 73.30196700373588]",355371820567480.9,"[117161696918293.72, 267109625745787.12]",0.0660781892202267,[[0.05460756 0.45657595]],0.1232190689518531,[[0.09968687 0.63369706]],1.2,5.336268901824951,7.221830294799571,[[4.07172969 4.87154153]],1,0,4.456201553344727,4.129737882533486,[[2.55789219 5.76757223]],1,0,69.94856564938627,"[40.45173447374989, 73.30196700373588]",355371820567480.9,"[117161696918293.72, 267109625745787.12]",0.0660781892202267,[[0.05460756 0.45657595]],0.1232190689518531,[[0.09968687 0.63369706]],1.2,4.182346343994141,5.181903807967616,[[1.75494059 1.54002216]],1,0,3.877713441848755,3.306847966978704,[[1.42544003 2.049346  ]],1,0,46.937115986577936,"[21.801988026747242, 31.575704989901766]",216817597211218.3,"[43312387048058.66, 70801183514188.88]",0.0827489506828062,[[0.05668721 0.22884277]],0.14090131432222133,[[0.09130631 0.27774444]]
4,4,1.5,7.247902393341064,7.853814631015853,[[ 4.14344961 16.14518558]],1,0,8.179085731506348,7.619016289635587,[[ 2.38301972 18.46834833]],1,0,21.823295625099497,"[9.30900904664902, 9.464350671979368]",451239054109351.25,"[52685402026998.44, 1.8387454717900736e+16]",0.6067147705325658,[[ 0.30280396 52.61267687]],0.7550788289077698,[[ 0.30388773 42.55535373]],1.5,7.247902393341064,7.853814631015853,[[ 4.14344961 16.14518558]],1,0,8.179085731506348,7.619016289635587,[[ 2.38301972 18.46834833]],1,0,21.823295625099497,"[9.30900904664902, 9.464350671979368]",451239054109351.25,"[52685402026998.44, 1.8387454717900736e+16]",0.6067147705325658,[[ 0.30280396 52.61267687]],0.7550788289077698,[[ 0.30388773 42.55535373]],1.5,7.015799045562744,8.358863809482981,[[1.52223674 1.20194462]],1,0,6.814337730407715,6.10245919678707,[[1.69687232 1.3547591 ]],1,0,35.7957430819564,"[10.527389889802663, 20.342443505348072]",365621152268868.7,"[38727544190439.375, 64852380817000.94]",0.22276630359434105,[[0.13206295 0.23975366]],0.3482466379938412,[[0.18665894 0.27484188]]
5,5,1.8,9.06441593170166,10.000102588757091,[[ 4.51883038 11.63215792]],1,0,9.79521942138672,8.955842761733134,[[ 2.1492575  10.35553234]],1,0,25.600213715212945,"[10.806617411289123, 7.910294729258858]",546739839771526.1,"[44418989230228.94, 1139423019102075.5]",0.5755659175759134,[[0.23368521 3.31553349]],0.7804562632660077,[[0.25891415 2.90597525]],1.8,9.06441593170166,10.000102588757091,[[ 4.51883038 11.63215792]],1,0,9.79521942138672,8.955842761733134,[[ 2.1492575  10.35553234]],1,0,25.600213715212945,"[10.806617411289123, 7.910294729258858]",546739839771526.1,"[44418989230228.94, 1139423019102075.5]",0.5755659175759134,[[0.23368521 3.31553349]],0.7804562632660077,[[0.25891415 2.90597525]],1.8,11.677614212036133,13.223443601299726,[[1.36263589 1.31832146]],1,0,10.221548080444336,9.044051963425153,[[1.80892685 1.71512515]],1,0,44.95412153781154,"[9.828567542071198, 14.990677580996554]",628582161502825.4,"[51859361518818.75, 80738556110685.75]",0.2587899085360082,[[0.11664711 0.18737423]],0.435337895443964,[[0.17836778 0.25738291]]
6,6,2.1,11.17001724243164,12.784059365275274,[[1.47609815 1.86846349]],1,0,9.781512260437012,8.79218566132111,[[1.95443121 2.15544412]],1,0,44.04067681910094,"[10.96579667234112, 17.064858196111977]",602936849724003.5,"[53359992156541.5, 114686839891149.5]",0.2573016961236057,[[0.12648075 0.24187472]],0.4302634910545109,[[0.19278656 0.32740554]],2.1,11.17001724243164,12.784059365275274,[[1.47609815 1.86846349]],1,0,9.781512260437012,8.79218566132111,[[1.95443121 2.15544412]],1,0,44.04067681910094,"[10.96579667234112, 17.064858196111977]",602936849724003.5,"[53359992156541.5, 114686839891149.5]",0.2573016961236057,[[0.12648075 0.24187472]],0.4302634910545109,[[0.19278656 0.32740554]],2.1,12.296735763549805,13.875347566193021,[[1.54857715 1.22433705]],1,0,11.621731758117676,10.42670730482075,[[1.29486454 0.86263505]],1,0,37.249629704562544,"[6.802648633354366, 9.65004905344341]",692218966797088.4,"[43767187083537.5, 50766917872511.125]",0.3942457235039978,[[0.14641458 0.1981825 ]],0.6250177340940328,[[0.2031144  0.24463287]]
7,7,2.4,10.415026664733888,11.91081902747975,[[1.68315162 1.41373624]],1,0,9.770057678222656,8.838518093269188,[[1.44816703 1.22062743]],1,0,36.83716864829727,"[8.759184713624219, 12.022059481781874]",565422874733655.4,"[42414722505349.875, 70445318676856.88]",0.3281787856086655,[[0.14222706 0.24993966]],0.5182710826638696,[[0.19819042 0.30084879]],2.4,10.415026664733888,11.91081902747975,[[1.68315162 1.41373624]],1,0,9.770057678222656,8.838518093269188,[[1.44816703 1.22062743]],1,0,36.83716864829727,"[8.759184713624219, 12.022059481781874]",565422874733655.4,"[42414722505349.875, 70445318676856.88]",0.3281787856086655,[[0.14222706 0.24993966]],0.5182710826638696,[[0.19819042 0.30084879]],2.4,13.025872230529785,14.687195114001035,[[1.42788404 1.06983945]],1,0,11.91960334777832,10.634288336364515,[[1.40426687 1.08564548]],1,0,40.71143825447053,"[7.505165912668858, 10.102297477269424]",729329206784837.2,"[45685842725309.25, 55805313000495.25]",0.35673065836527734,[[0.13001012 0.18581515]],0.5824120532849303,[[0.18815983 0.24234908]]
8,8,2.7,6.426898002624512,6.605576014109716,[[2.25132664 3.55086638]],1,0,8.790343284606934,8.20172077031055,[[2.15945281 3.73997562]],1,0,12.992696873209596,"[0.6324220740038964, 3.90022964693442]",8113938529363602.0,"[7561574349011996.0, 2.0724327218492416e+17]",21.945773822820875,[[ 20.87500838 595.09019043]],18.5176807318214,[[ 17.39134123 477.53141628]],2.7,6.426898002624512,6.605576014109716,[[2.25132664 3.55086638]],1,0,8.790343284606934,8.20172077031055,[[2.15945281 3.73997562]],1,0,12.992696873209596,"[0.6324220740038964, 3.90022964693442]",8113938529363602.0,"[7561574349011996.0, 2.0724327218492416e+17]",21.945773822820875,[[ 20.87500838 595.09019043]],18.5176807318214,[[ 17.39134123 477.53141628]],2.7,10.874272346496582,12.228491676310302,[[1.90410241 1.85786589]],1,0,11.448241233825684,10.302047843642859,[[0.80817035 0.6395037 ]],1,0,29.476919760055118,"[5.374187763829596, 7.082611470122352]",656385590008273.0,"[42014129486867.625, 55654105920910.5]",0.5517255517941163,[[0.19053215 0.27151688]],0.7987839638804788,[[0.22988503 0.28360895]]
9,9,3.0,5.233510494232178,5.882797096540535,[[1.59129093 1.30044123]],1,0,8.1714448928833,7.425155747495878,[[1.3682493  1.39250765]],1,0,12.16961331861543,"[0.5727402723470298, 1.4718596265030435]",1.2343819040822408e+16,"[1.1656281546370828e+16, 2.3574600166774208e+17]",35.99334888510118,[[ 34.2388044  726.90190418]],28.48951569142957,[[ 26.94068965 546.10276342]],3.0,5.233510494232178,5.882797096540535,[[1.59129093 1.30044123]],1,0,8.1714448928833,7.425155747495878,[[1.3682493  1.39250765]],1,0,12.16961331861543,"[0.5727402723470298, 1.4718596265030435]",1.2343819040822408e+16,"[1.1656281546370828e+16, 2.3574600166774208e+17]",35.99334888510118,[[ 34.2388044  726.90190418]],28.48951569142957,[[ 26.94068965 546.10276342]],3.0,10.15962028503418,11.383203582012518,[[2.04612505 2.17712946]],1,0,11.131322860717773,10.004294531914601,[[0.84203898 0.77096701]],1,0,27.08427870327546,"[5.0661418891181285, 6.509541970041411]",632535761298231.1,"[45907985846914.875, 69397123833725.625]",0.6091743883690165,[[0.21156433 0.32212721]],0.8488555564816354,[[0.24172167 0.31614416]]
10,10,3.3,4.123015880584717,5.383044029829654,[[1.41514111 0.96314966]],1,0,7.719852924346924,6.883628220876459,[[1.14698747 1.04022328]],1,0,11.591621902163176,"[0.5478820686920134, 1.1072691374989692]",1.211785713509874e+16,"[1.1406753287151618e+16, 2.364974757331653e+17]",37.28160828163258,[[ 35.30631214 767.92339333]],28.066112471090545,[[ 26.43548907 547.75070205]],3.3,4.123015880584717,5.383044029829654,[[1.41514111 0.96314966]],1,0,7.719852924346924,6.883628220876459,[[1.14698747 1.04022328]],1,0,11.591621902163176,"[0.5478820686920134, 1.1072691374989692]",1.211785713509874e+16,"[1.1406753287151618e+16, 2.364974757331653e+17]",37.28160828163258,[[ 35.30631214 767.92339333]],28.066112471090545,[[ 26.43548907 547.75070205]],3.3,9.241621017456055,10.253727380735798,[[2.1765558  2.76858895]],1,0,10.744290351867676,9.62777530078923,[[1.12537904 1.3585448 ]],1,0,23.929548793605804,"[4.504498476960727, 5.949586777294943]",612945495996754.0,"[53459648138234.31, 102964650785775.12]",0.7165882682122469,[[0.25656022 0.42521138]],0.9385803103852431,[[0.26865545 0.3845396 ]]
11,11,3.6,2.884584903717041,4.421724463100259,[[1.74561711 1.39041286]],1,0,6.566549777984619,5.828501147213173,[[1.39972299 1.52033504]],1,0,10.453436902301137,"[0.5886244791513544, 1.6349342060575403]",7462014108871584.0,"[6960681015317312.0, 1.9276427402709558e+17]",25.55331486530426,[[ 24.08047118 699.43814821]],17.159024510957742,[[ 16.02139371 445.30176007]],3.6,2.884584903717041,4.421724463100259,[[1.74561711 1.39041286]],1,0,6.566549777984619,5.828501147213173,[[1.39972299 1.52033504]],1,0,10.453436902301137,"[0.5886244791513544, 1.6349342060575403]",7462014108871584.0,"[6960681015317312.0, 1.9276427402709558e+17]",25.55331486530426,[[ 24.08047118 699.43814821]],17.159024510957742,[[ 16.02139371 445.30176007]],3.6,5.90240478515625,7.235957434143962,[[1.66146817 2.73050988]],1,0,9.757672309875488,8.489157791992518,[[1.516495   2.30297722]],1,0,16.23444716816171,"[1.643395808389771, 3.0414961380821666]",679737569107803.0,"[142133991387076.94, 197299282757214.88]",1.3899862320047016,[[0.52303769 0.66952002]],1.4189386766103829,[[0.41933822 0.50965845]]
12,12,3.9,3.037149906158448,4.284362498379168,[[1.83478808 1.65636059]],1,0,6.320858955383301,5.675985223083231,[[1.49164112 1.8116793 ]],1,0,10.287338213608171,"[0.6046772719036486, 1.9487658375359231]",6889801707216524.0,"[6429476826316502.0, 2.040760890769505e+17]",23.96791546254993,[[ 22.63385519 753.19656751]],15.796070886402449,[[ 14.75748542 470.79438417]],3.9,3.0371499061584477,4.284362498379168,[[1.83478808 1.65636059]],1,0,6.320858955383301,5.675985223083231,[[1.49164112 1.8116793 ]],1,0,10.287338213608171,"[0.6046772719036486, 1.9487658375359231]",6889801707216524.0,"[6429476826316502.0, 2.040760890769505e+17]",23.96791546254993,[[ 22.63385519 753.19656751]],15.796070886402449,[[ 14.75748542 470.79438417]],3.9,4.504833698272705,5.936611492336575,[[1.55719916 2.63957953]],1,0,8.629826545715332,7.442775659915207,[[1.50206381 2.36236636]],1,0,14.428399578072376,"[1.4313300853588338, 2.774609926988859]",631655289498147.0,"[155551995009050.38, 221887745838882.75]",1.5043206780553162,[[0.60396309 0.80334522]],1.395273669966692,[[0.43546304 0.55253852]]
13,13,4.2,2.5922048091888428,3.9821063529257135,[[1.82671385 1.49760279]],1,0,5.969081401824951,5.338536786807588,[[1.47322578 1.65016551]],1,0,9.918156973438066,"[0.6175741509260231, 1.785903539750107]",7277215035704560.0,"[6844081864140663.0, 1.836816410981049e+17]",26.21696210163081,[[ 24.89828846 703.07826856]],16.538777399344383,[[ 15.57605994 425.58290507]],4.2,2.5922048091888428,3.9821063529257135,[[1.82671385 1.49760279]],1,0,5.969081401824951,5.338536786807588,[[1.47322578 1.65016551]],1,0,9.918156973438066,"[0.6175741509260231, 1.785903539750107]",7277215035704560.0,"[6844081864140663.0, 1.836816410981049e+17]",26.21696210163081,[[ 24.89828846 703.07826856]],16.538777399344383,[[ 15.57605994 425.58290507]],4.2,2.989753484725952,5.000887990583396,[[1.38875228 2.25515189]],1,0,7.918544769287109,6.658543299881878,[[1.39642306 2.11804834]],1,0,13.047595314648886,"[1.1903730972300544, 2.234075175869279]",610734057264595.9,"[164715378937116.06, 231332214570736.12]",1.643680286587783,[[0.65632731 0.88373164]],1.3924667312224808,[[0.43162165 0.55569144]]
14,14,4.5,2.271312475204468,3.669077998406916,[[1.88424958 1.75137936]],1,0,5.548832893371582,4.986090562478641,[[1.5465311  1.93822527]],1,0,9.529829784265353,"[0.6342197580490421, 2.105348832569131]",5850327180087172.0,"[5470058232043331.0, 1.899831697966507e+17]",21.865296648424824,[[ 20.70011183 754.96867404]],13.127184146346009,[[ 12.29930344 440.38837044]],4.5,2.271312475204468,3.669077998406916,[[1.88424958 1.75137936]],1,0,5.548832893371582,4.986090562478641,[[1.5465311  1.93822527]],1,0,9.529829784265353,"[0.6342197580490421, 2.105348832569131]",5850327180087172.0,"[5470058232043331.0, 1.899831697966507e+17]",21.865296648424824,[[ 20.70011183 754.96867404]],13.127184146346009,[[ 12.29930344 440.38837044]],4.5,3.522169828414917,4.463449278971306,[[1.67185648 3.6790005 ]],1,0,6.907686233520508,6.004167295350451,[[1.6600205  3.28171245]],1,0,13.157204817021071,"[1.8468228524062997, 4.021768710671765]",475558022840965.9,"[137647320162269.31, 277578600825974.62]",1.2672943654461994,[[0.62705025 1.11157481]],1.0820835847969572,[[0.40025662 0.66248234]]
15,15,4.8,2.7918014526367188,3.781312457648797,[[1.97530973 2.18900439]],1,0,5.616724491119385,5.112832524032055,[[1.66176562 2.40674753]],1,0,9.669819861188774,"[0.6193204536643933, 2.6002157716484096]",6068575889567738.0,"[5706074040746033.0, 1.9102605705095994e+17]",22.38283277584569,[[ 21.33554884 748.22580208]],13.68593725983424,[[ 12.88994796 440.7504164 ]],4.8,2.7918014526367188,3.781312457648797,[[1.97530973 2.18900439]],1,0,5.616724491119385,5.112832524032055,[[1.66176562 2.40674753]],1,0,9.669819861188774,"[0.6193204536643933, 2.6002157716484096]",6068575889567738.0,"[5706074040746033.0, 1.9102605705095994e+17]",22.38283277584569,[[ 21.33554884 748.22580208]],13.68593725983424,[[ 12.88994796 440.7504164 ]],4.8,5.238809108734131,6.199608271348851,[[2.32178806 2.65993231]],1,0,6.384728908538818,5.859049548869761,[[1.07497184 1.08785247]],1,0,22.123720550801274,"[7.026116510557898, 11.54257551659122]",319752029352493.6,"[38601685783668.72, 77669699040800.56]",0.4212003386272676,[[0.23132367 0.47240792]],0.5283422274564717,[[0.23817007 0.33269433]]
16,16,5.1,1.180476188659668,2.7242962313439727,[[1.840493   2.17855516]],1,0,4.305109024047852,3.912699697475331,[[1.65035867 2.4463528 ]],1,0,8.325413003130262,"[0.7125573522725963, 2.7025480179344203]",2592868043645230.5,"[2332410663117406.5, 1.495827231142872e+17]",10.840123353516844,[[  9.99531066 666.7867524 ]],5.427369759602017,[[  4.91907451 346.70442677]],5.1,1.180476188659668,2.7242962313439727,[[1.840493   2.17855516]],1,0,4.305109024047852,3.912699697475331,[[1.65035867 2.4463528 ]],1,0,8.325413003130262,"[0.7125573522725963, 2.7025480179344203]",2592868043645230.5,"[2332410663117406.5, 1.495827231142872e+17]",10.840123353516844,[[  9.99531066 666.7867524 ]],5.427369759602017,[[  4.91907451 346.70442677]],5.1,6.076430320739746,6.851738674996346,[[2.41874446 3.56681716]],1,0,7.625314235687256,6.902207713680854,[[1.36642857 1.85657622]],1,0,20.33997991253635,"[5.534119753088991, 8.230860376107199]",402153081870565.0,"[48501247425693.06, 128261707995558.19]",0.6000224878857355,[[0.2873632  0.62270997]],0.7158903557794635,[[0.26940398 0.44333287]]
17,17,5.4,0.461954265832901,2.168987539751926,[[1.54405418 1.43309432]],1,0,3.6548526287078857,3.254295023356694,[[1.36939886 1.65591745]],1,0,7.564382556937763,"[0.681704366101874, 1.8814418726204734]",2575111305878067.5,"[2318334017186384.0, 1.4983251801278864e+17]",11.514371806018092,[[ 10.5470391  708.72864482]],4.996479043934729,[[  4.54489206 335.85663011]],5.4,0.461954265832901,2.168987539751926,[[1.54405418 1.43309432]],1,0,3.6548526287078857,3.254295023356694,[[1.36939886 1.65591745]],1,0,7.564382556937763,"[0.681704366101874, 1.8814418726204734]",2575111305878067.5,"[2318334017186384.0, 1.4983251801278864e+17]",11.514371806018092,[[ 10.5470391  708.72864482]],4.996479043934729,[[  4.54489206 335.85663011]],5.4,6.532394886016846,7.263193873195432,[[2.24239831 4.00361242]],1,0,8.784899711608887,7.8155482034398815,[[1.56621652 2.79885692]],1,0,18.588613672340205,"[3.783076636052966, 5.718806099626882]",504135782571655.2,"[73609064935238.81, 201604733742499.44]",0.8560610197553872,[[0.36475338 0.77088411]],0.9635309926695433,[[0.31469125 0.57888171]]
18,18,5.7,1.2266136407852173,2.033964264937828,[[1.54550078 2.93810366]],1,0,3.250993728637696,3.0818672537715304,[[1.45098712 3.35308373]],1,0,7.361298067857029,"[0.7121232309211507, 3.748469403934039]",2917381969861617.0,"[2696133908237161.0, 1.4526039351475786e+17]",13.269621619006514,[[ 12.55749115 699.2469534 ]],5.516180560547226,[[  5.1431262  337.51233865]],5.7,1.2266136407852173,2.033964264937828,[[1.54550078 2.93810366]],1,0,3.2509937286376958,3.0818672537715304,[[1.45098712 3.35308373]],1,0,7.361298067857029,"[0.7121232309211507, 3.748469403934039]",2917381969861617.0,"[2696133908237161.0, 1.4526039351475786e+17]",13.269621619006514,[[ 12.55749115 699.2469534 ]],5.516180560547226,[[  5.1431262  337.51233865]],5.7,5.801005840301514,6.518117189545154,[[2.09903627 4.01748873]],1,0,8.442255020141602,7.484401390587524,[[1.6812435  3.13513856]],1,0,16.74606308178504,"[3.0064807680789976, 4.936885258314643]",512822918986751.7,"[96451561645959.12, 238192344265015.8]",1.0059305501043039,[[0.44067339 0.8940005 ]],1.0512961736940787,[[0.3504466  0.63674985]]
